학교명,date_hi,date_lo,rep_hi,rep_lo,rep_gap,day_gap,date_penalty,menu_diversity,nutrient_sim,swap_score,menus_hi,menus_lo
가경초등학교,20251208,20251210,8,5,3,2,0.7213,0.289,0.8596,0.5743,"친환경 차조밥, 순두부계란국, 제육볶음, 배추김치, 쌈장, 일반우유, 우리밀 슈크림붕어빵, 스틱채소, 야채쌈","참치마요덮밥, 맑은콩나물국, 르뱅쿠키, 저지방우유, 스위트 샤인머스켓주스, 단무지, 로제 떡볶이"
가경초등학교,20251208,20251203,8,4,4,5,0.5139,0.2229,0.7722,0.4115,"친환경 차조밥, 순두부계란국, 제육볶음, 배추김치, 쌈장, 일반우유, 우리밀 슈크림붕어빵, 스틱채소, 야채쌈","콩나물밥/양념장, 팽이버섯장국, 닭봉오븐구이, 배추김치, 저지방우유, 라이스&바나나우유"
가경초등학교,20251226,20251224,6,4,2,2,0.7213,0.2995,0.7153,0.4021,"친환경 발아흑미밥, 닭곰탕, 두부쑥갓무침, 비엔나푸실리볶음, 배추김치, 발효유, 귤","비벼먹는 치밥, 버섯두부된장국, 쫀득이복만두, 배추김치, 산타 초코마카롱, 저지방우유"
가경초등학교,20251223,20251218,7,3,4,5,0.5139,0.2402,0.6087,0.351,"친환경 귀리밥, 북어감자국, 닭데리소스조림, 양상추샐러드, 배추김치, 고칼슘우유, 바나나","친환경 차수수밥, 낙지연포탕, 취나물무침, 닭갈비, 깍두기, 일반우유"
가경초등학교,20251226,20251231,6,4,2,5,0.5139,0.3236,0.8717,0.3374,"친환경 발아흑미밥, 닭곰탕, 두부쑥갓무침, 비엔나푸실리볶음, 배추김치, 발효유, 귤","참치김치덮밥, 계란실파국, 레몬 등갈비구이, 백김치, 요거트 디핑소스, 저지방우유, 파인애플"
