학교명,급식일자,급식인원수,칼로리정보,탄수화물(g),단백질(g),지방(g),비타민A(R.E),티아민(mg),리보플라빈(mg),비타민C(mg),칼슘(mg),철분(mg),menu_list
가경초등학교,20250401,336,566.8,82.3,30.1,12.9,283.3,0.5,0.4,53.3,397.0,3.3,"['친환경 찹쌀밥', '들깨가루미역국', '순살안동찜닭', '참나물무침', '배추김치', '딸기', '강화우유']"
가경초등학교,20250402,340,647.0,96.4,25.1,17.2,154.1,0.4,0.6,5.0,355.1,2.7,"['콩나물밥/양념장', '근대된장국', '새우링', '배추김치', '저지방우유', '자일로스 초코라떼']"
가경초등학교,20250403,340,659.4,100.2,21.5,18.6,159.7,0.4,0.5,37.7,254.8,2.9,"['친환경 기장밥', '감자고추장찌개', '언양식바싹파불고기', '배추김치', '오렌지', '일반우유', '도시락 김']"
가경초등학교,20250404,340,741.5,90.2,32.8,26.4,41.8,0.4,0.6,7.5,166.5,4.7,"['마파두부', '친환경 발아현미밥', '한방갈비탕', '오이지무침', '깍두기', '발효유', '식목일 케이크']"
가경초등학교,20250407,340,599.3,75.8,34.7,16.5,252.4,0.4,0.6,22.6,351.9,2.4,"['친환경 발아흑미밥', '아욱된장국', '숙주나물무침', '치즈불닭', '깍두기', '방울토마토', '일반우유']"
가경초등학교,20250408,340,503.6,81.5,22.9,9.0,258.4,0.4,0.4,19.4,428.9,3.0,"['친환경 홍미밥', '꽃게해물탕', '비건만두', '열무된장무침', '배추김치', '참외', '강화우유']"
가경초등학교,20250409,340,792.6,123.8,28.2,21.8,96.8,0.3,0.6,11.0,239.6,3.1,"['참치마요덮밥', '버섯두부된장국', '배추김치', '저지방우유', '머스캣코코', '떡볶이']"
가경초등학교,20250410,340,822.4,78.4,34.6,41.7,127.6,0.6,0.7,38.0,251.9,2.3,"['친환경 차수수밥', '햄김치찌개', '훈제오리야채무침', '느타리버섯볶음', '깍두기', '배', '일반우유']"
가경초등학교,20250411,340,565.1,95.8,26.1,9.5,68.5,0.8,0.4,28.5,207.0,2.1,"['친환경 현미찹쌀밥', '오징어배추장국', '오이부추무침', '고구마치즈롤까스/소스', '배추김치', '발효유', '스위트 청귤주스']"
가경초등학교,20250414,340,747.8,91.6,27.2,30.8,74.6,0.4,0.4,29.7,310.9,10.2,"['친환경 귀리밥', '부추재첩국', '청태볶음', '비엔나푸실리볶음', '깍두기', '일반우유', '블랙데이 짜장타르트']"
가경초등학교,20250415,340,582.2,83.8,25.5,15.2,167.4,0.4,0.5,21.0,398.3,3.8,"['친환경 기장밥', '설렁탕', '사천식잡채', '아몬드멸치볶음', '깍두기', '파인애플', '강화우유']"
가경초등학교,20250416,340,673.7,95.1,23.5,21.8,112.4,0.4,0.6,9.5,224.6,9.2,"['쇠고기야채볶음밥', '다시마어묵국', '치킨꿔바로우', '배추김치', '저지방우유', '청포도']"
가경초등학교,20250417,340,572.5,71.3,33.3,15.9,150.3,0.6,0.5,38.6,314.9,2.6,"['친환경 찹쌀밥', '순두부계란국', '묵은지순살닭찜', '얼갈이된장무침', '깍두기', '오렌지', '일반우유']"
가경초등학교,20250418,340,700.3,120.8,20.4,14.6,89.1,0.4,0.5,5.4,102.8,2.4,"['친환경 흑미밥', '촉촉 함박스테이크', '어린잎겉절이', '배추김치', '발효유', '우리밀 꼬마식빵', '브로콜리감자스프']"
가경초등학교,20250421,340,800.7,87.3,41.0,29.8,91.3,1.0,0.7,6.8,247.8,4.8,"['친환경 차조밥', '김치전골', '꼬막양념무침', '한돈LA갈비', '깍두기', '사과', '일반우유']"
